fullName,city,state,location,lon,lat,type,loctype,address,north,south,east,west
Hertz Arena,Estero,FL,"Hertz Arena, Estero, FL",-81.7788085,26.4406681,establishment,rooftop,"11000 everblades parkway, estero, fl 33928, usa",26.4422751302915,26.4395771697085,-81.7774280197085,-81.7801259802915
Robins Center,Richmond,VA,"Robins Center, Richmond, VA",-77.5387725,37.5806023,establishment,rooftop,"365 college rd, richmond, va 23173, usa",37.5818672802915,37.5791693197085,-77.53776796970848,-77.5404659302915
TD Garden,Boston,MA,"TD Garden, Boston, MA",-71.062146,42.366198,establishment,rooftop,"100 legends way, boston, ma 02114, usa",42.3673611802915,42.3646632197085,-71.0601185697085,-71.0628165302915
Ralston Sports and Events Center,Omaha,NE,"Ralston Sports and Events Center, Omaha, NE",-96.03941789999999,41.196002,establishment,rooftop,"8014 wildewood dr, omaha, ne 68127, usa",41.1972773802915,41.1945794197085,-96.03795651970849,-96.0406544802915
GCU Arena,Phoenix,AZ,"GCU Arena, Phoenix, AZ",-112.1286043,33.5097451,establishment,rooftop,"3300 w camelback rd building 38, phoenix, az 85017, usa",33.5109438302915,33.5082458697085,-112.1272549697085,-112.1299529302915
Swinney Recreation Center,Kansas City,MO,"Swinney Recreation Center, Kansas City, MO",-94.57876879999999,39.0352674,establishment,rooftop,"5030 holmes st, kansas city, mo 64110, usa",39.0362767302915,39.0335787697085,-94.57703966970848,-94.5797376302915
ShoWare Center,Kent,WA,"ShoWare Center, Kent, WA",-122.2398816,47.3870253,establishment,rooftop,"625 w james st, kent, wa 98032, usa",47.3885462302915,47.3858482697085,-122.2382859697085,-122.2409839302915
UVI Sports & Fitness Center,St. Thomas,Virgin Islands,"UVI Sports & Fitness Center, St. Thomas, Virgin Islands",-64.9728709,18.3399285,establishment,geometric_center,"st thomas, charlotte amalie west, st thomas 00802, usvi",18.3415243302915,18.3388263697085,-64.97145906970849,-64.97415703029151
South Point Arena,Las Vegas,NV,"South Point Arena, Las Vegas, NV",-115.1752286,36.0112358,establishment,rooftop,"9777 s las vegas blvd, las vegas, nv 89183, usa",36.0126453302915,36.00994736970851,-115.1733771197085,-115.1760750802915
Hilliard Gates Sports Center,Fort Wayne,IN,"Hilliard Gates Sports Center, Fort Wayne, IN",-85.1075116,41.1192022,establishment,geometric_center,"fort wayne, in 46835, usa",41.1205954802915,41.1178975197085,-85.10565741970849,-85.1083553802915
The DakotaDome,Vermillion,SD,"The DakotaDome, Vermillion, SD",-96.927943,42.7911532,establishment,rooftop,"1101 n dakota st, vermillion, sd 57069, usa",42.79298173029149,42.79028376970849,-96.92640631970849,-96.9291042802915
Trojan Arena,Troy,AL,"Trojan Arena, Troy, AL",-85.9523887,31.8022455,establishment,geometric_center,"troy, al 36082, usa",31.8039085302915,31.8012105697085,-85.9509510197085,-85.95364898029152
Pinnacle Bank Arena,Lincoln,NE,"Pinnacle Bank Arena, Lincoln, NE",-96.7126194,40.817931,establishment,rooftop,"400 pinnacle arena dr, lincoln, ne 68508, usa",40.81937938029151,40.81668141970851,-96.7116617697085,-96.7143597302915
Simmons Bank Arena,North Little Rock,AR,"Simmons Bank Arena, North Little Rock, AR",-92.26432349999999,34.7550895,establishment,geometric_center,"1 simmons bank arena drive, north little rock, ar 72114, usa",34.7563748802915,34.7536769197085,-92.2636612197085,-92.2663591802915
MVP Arena,Albany,NY,"MVP Arena, Albany, NY",-73.7548781,42.6486097,establishment,rooftop,"51 s pearl st, albany, ny 12207, usa",42.6496591302915,42.6469611697085,-73.7531251697085,-73.7558231302915
KeyBank Center,Buffalo,NY,"KeyBank Center, Buffalo, NY",-78.8765439,42.8750811,establishment,rooftop,"1 seymour h knox iii plaza, buffalo, ny 14203, usa",42.8768247302915,42.8741267697085,-78.8750089197085,-78.87770688029151
Reynolds Coliseum,Raleigh,NC,"Reynolds Coliseum, Raleigh, NC",-78.6699257,35.7835159,establishment,rooftop,"2411 dunn ave, raleigh, nc 27607, usa",35.7851881802915,35.7824902197085,-78.66842241970849,-78.6711203802915
FLA Live Arena,Sunrise,FL,"FLA Live Arena, Sunrise, FL",-80.3255204,26.1584958,establishment,rooftop,"1 panther pkwy, sunrise, fl 33323, usa",26.1601672302915,26.1574692697085,-80.3243240197085,-80.3270219802915
